class	level	name	xp	gil	type	major_location	minor_location	location	amount	item_name	triple	notes
Armorer	45	Feasting the Night Away	106560	656	Courier	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	1	Hells' Kitchen		
Armorer	45	Dealing with the Tough Stuff	33465	456	Field	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	3	Cobalt Ingot	1	
Armorer	45	Parasitic Win	71040	617	Field	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	1	Cobalt-plated Caligae		
Armorer	45	Booty Call	67146	569	Field	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	1	Cobalt-plated Jackboots		
Culinarian	1	Pork Is a Salty Food	480	89	Town	Limsa Lominsa			9	Table Salt		
Culinarian	1	Trout Fishing in Limsa	1770	84	Town	Limsa Lominsa			1	Grilled Trout		
Culinarian	1	In Hot Water	1092	84	Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Boiled Egg		
Culinarian	1	It's Always Sunny in Vylbrand	1092	91	Reverse Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	3	Raisins		
Culinarian	1	What a Sap	480	85	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	5	Maple Syrup		
Culinarian	1	Meat Lover's Special	1770	86	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Marmot Steak		
Culinarian	5	Whip It	3430	115	Town	Limsa Lominsa			5	Sweet Cream		
Culinarian	5	Jack of All Plates	4044	186	Town	Limsa Lominsa			1	Jack-o'-lantern		
Culinarian	5	A Real Fungi	3430	115	Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Chanterelle Saute		
Culinarian	5	Fishy Revelations	3430	135	Reverse Courier	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Braised Pipira		
Culinarian	5	Putting the Squeeze On	2106	112	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	1	Orange Juice		
Culinarian	5	Butter Me Up	4044	137	Field	Limsa Lominsa	Lower La Noscea	Red Rooster Stead	5	Kukuru Butter		
Culinarian	10	Keep Your Powder Dry	4460	140	Town	Limsa Lominsa			5	Kukuru Powder		
Culinarian	10	Pretty Enough to Eat	7744	114	Town	Limsa Lominsa			1	Grilled Carp		
Culinarian	10	Go Ahead and Dig In	7698	142	Courier	Limsa Lominsa	Western La Noscea	Swiftperch	1	Mole Loaf		
Culinarian	10	The Bango Zango Diet	7698	138	Reverse Courier	Limsa Lominsa	Western La Noscea	Swiftperch	1	Parsnip Salad		
Culinarian	10	Chew the Fat	2230	150	Field	Limsa Lominsa	Western La Noscea	Swiftperch	1	Grilled Dodo		
Culinarian	10	Fisher of Men	3872	151	Field	Limsa Lominsa	Western La Noscea	Swiftperch	1	Salt Cod		
Culinarian	15	Omelet's Be Friends	8114	180	Town	Limsa Lominsa			1	Dodo Omelette		
Culinarian	15	Shy Is the Oyster	9044	139	Town	Limsa Lominsa			1	Raw Oyster		
Culinarian	15	A Total Nut Job	13146	137	Courier	Limsa Lominsa	Western La Noscea	Aleport	1	Walnut Bread		
Culinarian	15	Flakes for Friends	13146	132	Reverse Courier	Limsa Lominsa	Western La Noscea	Aleport	1	Apple Tart		
Culinarian	15	Sweet Smell of Success	8114	181	Field	Limsa Lominsa	Western La Noscea	Aleport	5	Lavender Oil		
Culinarian	15	Rustic Repast	12218	179	Field	Limsa Lominsa	Western La Noscea	Aleport	1	Chicken and Mushrooms		
Culinarian	20	Brain Food	5259	213	Town	Limsa Lominsa			3	Walnut Bread	1	
Culinarian	20	A Grape Idea	12746	226	Town	Limsa Lominsa			1	Grape Juice		
Culinarian	20	Feast of All Soles	20578	174	Courier	Limsa Lominsa	South Shroud	Quarrymill	1	Salmon Meuniere		
Culinarian	20	Picnic Panic	5259	215	Field	Limsa Lominsa	South Shroud	Quarrymill	3	Apple Tart	1	
Culinarian	20	For Crumbs Sake	12746	211	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Honey Muffin		
Culinarian	20	Food Fight	13718	260	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Shepherd's Pie		
Culinarian	25	Fever Pitch	8505	213	Town	Limsa Lominsa			3	Chamomile Tea	1	
Culinarian	25	Convalescence Precedes Essence	19770	258	Town	Limsa Lominsa			1	Ginger Cookie		
Culinarian	25	Cooking With Gas	33100	258	Courier	Limsa Lominsa	South Shroud	Quarrymill	9	Chicken Stock		
Culinarian	25	I Love Lamprey	11115	277	Field	Limsa Lominsa	South Shroud	Quarrymill	3	Eel Pie	1	
Culinarian	25	Whirled Peas	19770	252	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Pea Soup		
Culinarian	25	Love's Crumpets Lost	22066	150	Field	Limsa Lominsa	South Shroud	Quarrymill	1	Crumpet		
Culinarian	30	True Grits	13887	164	Town	Limsa Lominsa			6	Cornmeal	1	
Culinarian	30	Bloody Good Tart, This	31882	253	Town	Limsa Lominsa			1	Blood Currant Tart		
Culinarian	30	Pretty as a Picture	45424	310	Courier	Limsa Lominsa	Eastern La Noscea	Costa del Sol	5	Dark Vinegar		
Culinarian	30	Sole Survivor	17670	264	Field	Limsa Lominsa	Eastern La Noscea	Costa del Sol	3	Baked Sole	1	
Culinarian	30	Gegeruju Gets Down	30282	294	Field	Limsa Lominsa	Eastern La Noscea	Costa del Sol	1	Cornbread		
Culinarian	30	Point Them with the Sticky End	31882	468	Field	Limsa Lominsa	Eastern La Noscea	Costa del Sol	1	Tuna Miq'abob		
Culinarian	35	Feeding Frenzy	19600	215	Town	Limsa Lominsa			3	Acorn Cookies	1	
Culinarian	35	Don't Turn Up Your Nose	41034	448	Town	Limsa Lominsa			1	Sauerkraut		
Culinarian	35	No More Dumpster Diving	64792	336	Courier	Limsa Lominsa	Coerthas	Observatorium	1	Knight's Bread		
Culinarian	35	Leek Soup for the Soul	23940	356	Field	Limsa Lominsa	Coerthas	Observatorium	3	Cawl Cennin	1	
Culinarian	35	Winter of Our Discontent	43194	349	Field	Limsa Lominsa	Coerthas	Observatorium	1	Mugwort Carp		
Culinarian	35	Rise and Dine	41034	204	Field	Limsa Lominsa	Coerthas	Observatorium	1	Cheese Souffle		
Culinarian	40	Made by Apple in Coerthas	32049	590	Town	Limsa Lominsa			3	Apple Juice	1	
Culinarian	40	The Perks of Life at Sea	54214	364	Town	Limsa Lominsa			1	Jerked Beef 		
Culinarian	40	Moving up the World	83662	397	Courier	Limsa Lominsa	Coerthas	Whitebrim	5	Rolanberry Cheese		
Culinarian	40	Pagan Pastries	32049	377	Field	Limsa Lominsa	Coerthas	Whitebrim	3	Pastry Fishes	1	
Culinarian	40	Rolanberry Fields Forever	55774	385	Field	Limsa Lominsa	Coerthas	Whitebrim	5	Rolanberry Cheese		
Culinarian	40	Good Eats in Ishgard	54994	453	Field	Limsa Lominsa	Coerthas	Whitebrim	1	Salt Cod Puff		
Culinarian	45	Bread in the Clouds	39087	279	Town	Limsa Lominsa			3	La Noscean Toasts	1	
Culinarian	45	The Egg Files	67146	439	Town	Limsa Lominsa			1	Deviled Eggs 		
Culinarian	45	Culture Club	106560	412	Courier	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	1	Crowned Pie		
Culinarian	45	Red Letter Day	39087	192	Field	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	3	Tomato Pie	1	
Culinarian	45	Comfort Me with Mushrooms	72932	405	Field	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	1	Buttons in a Blanket		
Culinarian	45	Drinking to Your Health	69104	189	Field	Limsa Lominsa	Mor Dhona	Saint Coinach's Find	1	Mulled Tea		
Fisher	20	Blind Ambition	6109	204	Gathering	Limsa Lominsa			3	Dark Sleepers	1	
Fisher	20	The Long and the Shortcrust	9262	200	Gathering	Limsa Lominsa			3	Black Eels		
Fisher	20	Sounds Fishy to Me	6109	184	Gathering	Limsa Lominsa			3	Copperfishes		
Fisher	20	Food Chain Reaction	6109	208	Gathering	Limsa Lominsa			3	Faerie Bass	1	
Fisher	25	The Truth Will Set You Free	9885	260	Gathering	Limsa Lominsa			3	Five-ilm Plecos	1	
Fisher	25	A Watery Web of Lies	14725	258	Gathering	Limsa Lominsa			3	Yugr'am Salmons		
Fisher	25	Fishing 101	9262	240	Gathering	Limsa Lominsa			3	Dark Bass	1	
Fisher	25	A Shocking Soiree	11033	235	Gathering	Limsa Lominsa			3	Black Ghosts		
Fisher	30	Kitchen Nightmares No More	14725	291	Gathering	Limsa Lominsa			3	Black Soles	1	
Fisher	30	A Recipe for Disaster	15549	288	Gathering	Limsa Lominsa			3	Ash Tunas		
Fisher	30	The Blue Period	14725	294	Gathering	Limsa Lominsa			3	Sea Pickles	1	
Fisher	30	Just Call Me Late For Dinner	15141	294	Gathering	Limsa Lominsa			3	Indigo Herrings		
Fisher	35	The Perks of Politics	19950	336	Gathering	Limsa Lominsa			3	Seema		
Fisher	35	Hands off our Fish	26707	347	Gathering	Limsa Lominsa			3	Crimson Trouts		
Fisher	35	Fry me a River	21057	343	Gathering	Limsa Lominsa			3	Giant Bass	1	
Fisher	35	Gathering Light	19950	347	Gathering	Limsa Lominsa			3	Lamp Marimos	1	
Fisher	40	Rationally Speaking	26707	368	Gathering	Limsa Lominsa			3	Golden Loaches	1	
Fisher	40	Empire Builder	27107	424	Gathering	Limsa Lominsa			3	Bronze Lake Trouts		
Fisher	40	Laird of the Lakes	32572	376	Gathering	Limsa Lominsa			3	Northern Pikes		
Fisher	40	Make a Fish	26707	392	Gathering	Limsa Lominsa			3	Abalathian Smelts	1	
Fisher	45	Awash in Evidence	35520	423	Gathering	Limsa Lominsa			3	Ilsabardian Bass		
Fisher	45	Snail Fail	32572	419	Gathering	Limsa Lominsa			3	Ignus Snails	1	
Fisher	45	Putting the Zap on Nature	35520	419	Gathering	Limsa Lominsa			3	Boltfishes		
Fisher	45	Sleeper Creep	32572	410	Gathering	Limsa Lominsa			3	Sludgeskippers	1	
Carpenter	1	In with the New	728	99	Town	Gridania			1	Bone Harpoon		
Carpenter	1	Touch and Heal	860	95	Town	Gridania			1	Maple Pattens		
Carpenter	1	A Clogful of Cameraderie	720	94	Courier	Gridania	Central Shroud	The Bannock	1	Maple Clogs		
Carpenter	1	Gridania's Got Talent	720	102	Reverse Courier	Gridania	Central Shroud	The Bannock	3	Maple Lumber		
Carpenter	1	Bowing Out	584	95	Field	Gridania	Central Shroud	The Bannock	1	Maple Shortbow		
Carpenter	1	Got Your Back	1770	97	Field	Gridania	Central Shroud	The Bannock	1	Square Maple Shield		
Carpenter	5	Bows for the Boys	2274	128	Town	Gridania			1	Maple Longbow		
Carpenter	5	Shields for the Serpents	2514	154	Town	Gridania			1	Round Shield		
Carpenter	5	Spears and Sorcery	3430	128	Courier	Gridania	Central Shroud	The Bannock	1	Maple Crook		
Carpenter	5	Compulsory Conjury	3160	125	Reverse Courier	Gridania	Central Shroud	The Bannock	1	Maple Cane		
Carpenter	5	Leaving without Leave	2106	125	Field	Gridania	Central Shroud	The Bannock	1	Bronze Spear		
Carpenter	5	A Sword in Hand	4044	151	Field	Gridania	Central Shroud	The Bannock	1	Ash Macuahuitl		
Carpenter	10	Citizens' Canes	5132	154	Town	Gridania			1	Ash Radical		
Carpenter	10	On the Move	4460	133	Town	Gridania			1	Ragstone Grinding Wheel		
Carpenter	10	Raise the Roof	6066	223	Courier	Gridania	Central Shroud	Bentbranch	3	Ash Lumber		
Carpenter	10	Shielding Sales	11616	128	Reverse Courier	Gridania	Central Shroud	Bentbranch	1	Square Ash Shield		
Carpenter	10	Say It with Spears	5132	137	Field	Gridania	Central Shroud	Bentbranch	1	Feathered Harpoon		
Carpenter	10	Life's a Stitch	4820	185	Field	Gridania	Central Shroud	Bentbranch	1	Ash Spinning Wheel		
Carpenter	15	Re-crating the Scene	8454	180	Town	Gridania			1	Iron Spear		
Carpenter	15	Nightmare on My Street	8764	179	Town	Gridania			1	Elm Cane		
Carpenter	15	Driving up the Wall	12172	269	Courier	Gridania	East Shroud	Hawthorne Hut	3	Elm Lumber		
Carpenter	15	Bowing to Necessity	11616	144	Reverse Courier	Gridania	East Shroud	Hawthorne Hut	1	Ash Shortbow		
Carpenter	15	Nothing to Hide	12218	196	Field	Gridania	East Shroud	Hawthorne Hut	1	Ash Mask (Lapis Lazuli)		
Carpenter	15	What You Need	7744	141	Field	Gridania	EastShroud	Hawthorne Hut	1	Square Ash Shield		
Carpenter	20	Behind the Mask	7331	422	Town	Gridania			3	Ash Mask (Lapis Lazuli)		
Carpenter	20	As the Worm Turns	12746	239	Town	Gridania			1	Yew Radical		
Carpenter	20	Militia on My Mind	18328	196	Courier	Gridania	South Shroud	Quarrymill	1	Iron Lance		
Carpenter	20	Polearms Aplenty	5073	203	Field	Gridania	South Shroud	Quarrymill	3	Iron Spears	1	
Carpenter	20	Grinding It Out	13250	237	Field	Gridania	South Shroud	Quarrymill	1	Mudstone Grinding Wheel		
Carpenter	20	Wall Not Found	18524	254	Field	Gridania	South Shroud	Quarrymill	3	Walnut Lumber		
Carpenter	25	Armoires of the Rich and Famous	11115	489	Town	Gridania			5	Walnut Lumber	1	
Carpenter	25	Daddy's Little Girl	19770	274	Town	Gridania			1	Viper-crested Round Shield		
Carpenter	25	Tools for the Tools	31420	329	Courier	Gridania	South Shroud	Quarrymill	1	Silver Battle Fork		
Carpenter	25	Heal Away	8505	253	Field	Gridania	South Shroud	Quarrymill	3	Yew Crooks	1	
Carpenter	25	Storm of Swords	22066	248	Field	Gridania	South Shroud	Quarrymill	1	Elm Macuahuitl		
Carpenter	25	Toys of Summer	29450	327	Field	Gridania	South Shroud	Quarrymill	1	Steel Spear		
Carpenter	30	Ceremonial Spears	17670	403	Town	Gridania			3	Steel Spears	1	
Carpenter	30	An Expected Tourney	30282	353	Town	Gridania			1	Ash Cavalry Bow		
Carpenter	30	Knock on Wood	49000	321	Courier	Gridania	Eastern La Noscea	Costa del Sol	1	Walnut Macuahuitl		
