Used By	Slot	Level	Name	Crafted By	Craftsmanship	Control	CP	Materia Slots	Comments
GSM	Secondary	16	Recruit's Grinding Wheel	?	41	24	1		
GSM	Secondary	21	Mudstone Grinding Wheel	CRP	46	26		1	
GSM	Secondary	25	Initiate's Grinding Wheel	CRP	51	29		1	
GSM	Secondary	29	Novice's Grinding Wheel	?	58	33	2		
GSM	Secondary	33	Siltstone Grinding Wheel	CRP	61	35		1	
GSM	Secondary	39	Apprentice's Grinding Wheel	?	69	39	2		
GSM	Secondary	43	Garnet Grinding Wheel	CRP	74	42		1	
GSM	Secondary	47	Basilisk Grinding Wheel	CRP	79	45		1	
GSM	Secondary	50	Militia Grinding Wheel	CRP	95	54		1	
LTW	Primary	1	Weathered Head Knife	n/a	21				
LTW	Primary	8	Bronze Head Knife	BSM	30	17			
LTW	Primary	11	Amateur's Head Knife	BSM	34	19			
LTW	Primary	14	Brass Head Knife	BSM	38	21			
LTW	Primary	19	Initiate's Head Knife	BSM	44	25		1	
LTW	Primary	23	Iron Round Knife	BSM	49	28		1	
LTW	Primary	28	Iron Head Knife	BSM	55	32		1	
LTW	Primary	31	Silver Head Knife	BSM	59	34		1	
LTW	Primary	34	Steel Round Knife	BSM	63	36		1	
LTW	Primary	38	Mythril Head Knife	BSM	68	39		1	
LTW	Primary	43	Mythril Round Knife	BSM	74	42		1	
LTW	Primary	48	Electrum Head Knife	BSM	80	46		1	
LTW	Primary	50	Pinga	UNIQUE	107	61			Achievement
LTW	Primary	50	Knife Of The Luminary	UNIQUE	107	61			Quest
LTW	Secondary	5	Amateur's Awl	BSM	26	15			
LTW	Secondary	11	Bronze Awl	BSM	34	19			
LTW	Secondary	16	Recruit's Awl	?	40	23	1		
LTW	Secondary	19	Iron Awl	BSM	44	25		1	
LTW	Secondary	23	Initiate's Awl	BSM	49	28		1	
LTW	Secondary	28	Novice's Awl	?	55	32	2		
LTW	Secondary	31	Steel Awl	BSM	59	34		1	
LTW	Secondary	35	Wrapped Steel Awl	BSM	64	37		1	
LTW	Secondary	39	Apprentice's Awl	?	70	40	2		
LTW	Secondary	43	Mythril Awl	BSM	74	42		1	
LTW	Secondary	47	Cobalt Awl	BSM	79	45		1	
LTW	Secondary	50	Militia Awl	BSM	95	54		1	
WVR	Primary	1	Rusty Needle	n/a	24				
WVR	Primary	8	Copper Needle	GSM	30	17			
WVR	Primary	12	Amateur's Needle	GSM	35	20			
WVR	Primary	15	Bat Fang Needle	GSM	40	23		1	
WVR	Primary	20	Brass Needle	GSM	45	26		1	
WVR	Primary	24	Initiate's Needle	GSM	50	29		1	
WVR	Primary	28	Silver Needle	GSM	55	32		1	
WVR	Primary	32	Worm Fang Needle	GSM	60	34		1	
WVR	Primary	37	Mythril Needle	GSM	66	38		1	
WVR	Primary	39	Wolf Fang Needle	GSM	70	40		1	
WVR	Primary	43	Thousand Needle	GSM	74	42		1	
WVR	Primary	48	Electrum Needle	GSM	80	46		1	
WVR	Primary	50	Clotho	UNIQUE	107	61			Achievement
WVR	Primary	50	Needle Of The Luminary	UNIQUE	107	61			Quest
WVR	Secondary	5	Amateur's Spinning Wheel	CRP	26	15			
WVR	Secondary	11	Ash Spinning Wheel	CRP	34	19			
WVR	Secondary	15	Recruit's Spinning Wheel	?	40	23	1		
WVR	Secondary	19	Initiate's Spinning Wheel	CRP	44	25		1	
WVR	Secondary	23	Elm Spinning Wheel	CRP	49	28		1	
WVR	Secondary	28	Novice's Spinning Wheel	?	56	32	2		
WVR	Secondary	32	Walnut Spinning Wheel	CRP	60	34		1	
WVR	Secondary	36	Apprentice's Spinning Wheel	?	66	38	2		
WVR	Secondary	40	Mahogany Spinning Wheel	CRP	70	40		1	
WVR	Secondary	45	Rosewood Spinning Wheel	CRP	77	44		1	
WVR	Secondary	50	Militia Spinning Wheel	CRP	95	54		1	
DOH	Head	1	Leather Chalot	LTW		6		2	
DOH	Head	5	Hempen Bandana	WVR		8		2	16 Perception
DOH	Head	10	Amateur's Headgear	LTW		9		2	
DOH	Head	15	Cotton Scarf	WVR		11		2	
DOH	Head	20	Initiat's Headgear	LTW		13		2	
DOH	Head	23	Velveteen Bandana	WVR		14		2	29 Perception
DOH	Head	25	Silver Magnifiers	GSM		15		2	
DOH	Head	27	Velveteen Wedge Cap of Crafting	WVR		15		2	
DOH	Head	29	Velveteen Beret	WVR		16		2	
DOH	Head	31	Steel Goggles	GSM		17		2	35 Perception
DOH	Head	34	Mithril Magnifiers	GSM		18		2	
DOH	Head	35	Woolen Sugarloaf Hat	Unique	2	19	2	2	* Carpenter 30 Reward
DOH	Head	38	Linen Wedge Cap of Crafting	WVR		19		2	
DOH	Head	41	Linen Deerstalker	WVR		20		2	
DOH	Head	43	Woolen Beret	WVR		21		2	
DOH	Head	44	Cobalt Preserves	GSM		22		2	45 Perception
DOH	Head	41	Vintage Chef's Hat	WVR		22	2	3	
DOH	Head	44	[Grand Company] [Hat]	Unique		25	3	0	*2860 GC, CP is set bonus
DOH	Head	46	Woolen Deerstalker	WVR		22		2	
DOH	Head	48	Felt Beret	WVR		23		2	
DOH	Head	50	Patrician's Wedge Cap	WVR		24		2	
DOH	Head	50	[Class] [Hat]	WVR / GSM / LTW		27	2	2	
DOH	Head	50	Explorer's Calot	Unique		28		0	59 Perception
DOH	Body	1	Hempen Kurta	n/a	18				
DOH	Body	6	Hempen Shepherd's Tunic	WVR	23				17 Gathering
DOH	Body	9	Amateur's Kurta	WVR	27	9			
DOH	Body	12	Hempen Doublet Vest of Crafting	WVR	30	10			
DOH	Body	15	Cotton Shepherd's Tunic	WVR	33	11		2	23 Gathering, 12 Perception
DOH	Body	18	Cotton Kurta	WVR	36	12		2	
DOH	Body	21	Cotton Doublet Vest of Crafting	WVR	40	13		2	
DOH	Body	20	Wood Wailer's Jacket	Unique	40	13	1	0	28 Gath, 14 Perc, 2 GP
DOH	Body	24	Initiate's Gown	WVR	43	14		2	
DOH	Body	25	[Grand Company] [Body]	Unique	51	17	2	0	1390 GC, CP is Set Bonus
DOH	Body	26	Velveteen Coatee of Crafting	WVR	45	15		2	
DOH	Body	30	Velveteen Gown	WVR	50	17		2	
DOH	Body	32	Velveteen Doublet Vest	WVR	52	17		2	
DOH	Body	35	Apprentice's Smock	?	56	19	2	0	
DOH	Body	38	Linen Coatee of Crafting	WVR	58	19		2	
DOH	Body	37	Vintage Coatee	WVR	60	20		3	
DOH	Body	40	[Grand Company] [Apron]	Unique	69	23	3	0	3280 GC, CP is Set Bonus
DOH	Body	41	Linen Smock	WVR	61	20		2	
DOH	Body	40	Vintage Chef's Apron	WVR	63	21		3	
DOH	Body	43	Woolen Gown	WVR	63	21		2	
DOH	Body	46	Woolen Smock	WVR	67	22		2	
DOH	Body	44	Vintage Senseschal Coatee	WVR	68	23		3	
DOH	Body	48	Felt Gown	WVR	69	23		2	
DOH	Body	50	Patrician's Coatee	WVR	71	24		2	
DOH	Body	47	Dodore Doublet	LTW	71	24		3	
DOH	Body	50	[Class] [Body]	WVR / LTW	81	27	2	2	
DOH	Hands	1	Hempen Halfgloves	WVR		6		0	
DOH	Hands	6	Hempen Shortgloves	WVR		8		0	
DOH	Hands	10	Amateur's Smithing GLoves	LTW		9		0	
DOH	Hands	15	Cotton Halfgloves	WVR		11		2	
DOH	Hands	20	Initiate's Gloves	LTW		13		2	
DOH	Hands	24	Velveteen Halfgloves	WVR		14		2	
DOH	Hands	28	Velveteen Shortgloves	WVR		16		2	
DOH	Hands	33	Linen Halfgloves	WVR		18		2	
DOH	Hands	38	Linen Shortgloves	WVR		19		2	
DOH	Hands	39	[Grand Company] Shortgloves	Unique		23	3	0	1960 GC, CP is Set Bonus
DOH	Hands	41	Boarskin Smithy's Gloves	LTW		20		2	
DOH	Hands	39	Vintage Smithy's Gloves	LTW		21	2	3	
DOH	Hands	43	Woolen Halfgloves	WVR		21		2	
DOH	Hands	46	Raptorskin Smithy's Gloves	LTW		22		2	
DOH	Hands	48	Felt Halfgloves	WVR		23		2	
DOH	Hands	50	Patrician's Gloves	WVR		24		2	
DOH	Hands	50	 [Class] [Hands]	LTW / WVR		27	2	2	
DOH	Wrist	16	Brass Wristlets of Crafting	GSM			17	1	
DOH	Wrist	26	Silver Wristlets of Crafting	GSM			20	1	
DOH	Wrist	36	Mythril Wristlets of Crafting	GSM			23	1	
DOH	Wrist	46	Electrum Wristlets of Crafting	GSM			26	1	
DOH	Wrist	50	Militia Wristlets	GSM			28	1	
DOH	Waist	1	Merchant's Purse	LTW		6		0	
DOH	Waist	10	Hard Leather Merchant's Pouch	LTW		9		0	
DOH	Waist	18	Goatskin Tool Belt	LTW		12		1	
DOH	Waist	28	Velveteen Half Apron	WVR		16		1	
DOH	Waist	35	Vintage Half Apron	WVR		19		2	
DOH	Waist	38	Linen Half Apron	WVR		19		1	
DOH	Waist	37	Vintage Chef's Belt	LTW		20		2	
DOH	Waist	42	Boarskin Tool Belt	LTW		21		1	
DOH	Waist	46	Raptorskin Artisan's Belt	LTW		22		1	
DOH	Waist	48	Raptorskin Merchant's Purse	LTW		23		1	
DOH	Legs	1	Hempen Breeches of Crafting	WVR		6		0	
DOH	Legs	5	Hempen Chausses	WVR		8		0	
DOH	Legs	10	Hempen Bottoms	WVR		9		0	
DOH	Legs	15	Cotton Chausses	WVR		11		2	
DOH	Legs	19	Cotton Breeches of Crafting	WVR		13		2	
DOH	Legs	24	Velveteen Chausses	WVR		14		2	
DOH	Legs	27	[Grand Company] [Legs]	Unique	2	18		0	1080 GC, Craftsmanship is Set Bonus
DOH	Legs	28	Velveteen Bottom	WVR		16		2	
DOH	Legs	31	Flame Private's Sarouel	Unique	3	19		0	1360 GC, Craftsmanship is Set Bonus
DOH	Legs	33	Linen Chausses	WVR		18		2	
DOH	Legs	38	Linen Bottom	WVR		19		2	
DOH	Legs	41	Linen Slops	WVR		20		2	
DOH	Legs	43	Woolen Chausses	WVR		21		2	
DOH	Legs	44	[Grand Company] Sarouel	Unique	3	25		0	3040 GC, Craftsmanship is Set Bonus
DOH	Legs	46	Woolen Slops	WVR		22		2	
DOH	Legs	48	Felt Chausses	WVR		23		2	
DOH	Legs	50	Patrician's Bottoms	WVR	2	24		2	
DOH	Legs	50	[Class] [Legs]	WVR / LTW	3	27		2	
DOH	Feet	1	Maple Clogs	CRP		6		0	
DOH	Feet	5	Maple Pattens	CRP		8		0	
DOH	Feet	10	Amateur's Thighboots	LTW		9		0	
DOH	Feet	15	Ash Patterns	CRP		11		2	
DOH	Feet	20	Initiate's Thighboots	LTW		13		2	
DOH	Feet	24	Elm Pattens	CRP		14		2	
DOH	Feet	25	Flame Private's Crakows	Unique		17	2	0	970 GC, CP is Set Bonus
DOH	Feet	28	Velveteen Gaiters	WVR		16		2	
DOH	Feet	33	Walnut Patterns	CRP		18		2	
DOH	Feet	38	Linen Gaiters	WVR		19		2	
DOH	Feet	41	Boarskin Thighboots	LTW		20		2	
DOH	Feet	43	Oak Patterns	CRP		21		2	
DOH	Feet	43	[Grand Company] Seargent's Crakows	Unique		24	3	0	2710 GC, CP is Set Bonus
DOH	Feet	41	Vintage Thighboots	LTW		22	2	3	
DOH	Feet	46	Raptorskin Thighboots	LTW		22		2	
DOH	Feet	48	Mahogany Pattens	CRP		23		2	
DOH	Feet	50	Patrician's Gaiters	WVR		24		2	
DOH	Feet	50	[Class] [Shoes]	LTW / ARM	3	27			
DOH	Ring	1	Ring of Fortune	UNIQUE			8	0	New character: "To amass a fortune"
DOH	Ring	18	Brass Ring of Crafting	GSM			9	1	
DOH	Ring	27	Silver Ring of Crafting	GSM			11	1	
DOH	Ring	37	Mythril Ring of Crafting	GSM			12	1	
DOH	Ring	45	[Grand Company] Ring	Unique	3		15	0	
DOH	Ring	47	Electrum Ring of Crafting	GSM			13	1	
DOH	Ring	50	Aetheryte Ring	GSM			15	1	Spiritbond 1
DOH	Neck	9	Copper Choker	GSM			15	0	
DOH	Neck	19	Brass Choker	GSM			18	1	
DOH	Neck	29	Silver Choker	GSM			21	1	
DOH	Neck	39	Mythril Choker	GSM			23	1	
DOH	Neck	49	Electrum Choker	GSM			26	1	
DOH	Ear	15	Fang Earings	GSM			17	1	
DOH	Ear	25	Horn Earings	GSM			20	1	
DOH	Ear	35	Wolf Earings	GSM			23	1	
DOH	Ear	45	Red Coral Earings	GSM			25	1	
DOH	Ear	50	[Grand Company] Earings	Unique			32	0	Achievement, Spiritbond 1
