Used By	Slot	Lvl	Name	Crafted By	Gathering	Perception	GP	Materia Slots	Comments
MIN	Primary	11	Amateur's Pickaxe	BSM	35	20			
MIN	Secondary	11	Bronze Sledgehammer	BSM	20	35			
MIN	Primary	14	Plumed Bronze Pickaxe	BSM	39	23			
MIN	Secondary	15	Recruit's Sledgehammer		24	42	1		
MIN	Primary	19	Iron Pickaxe	BSM	46	26		1	
MIN	Secondary	19	Initiate's Sledgehammer	BSM	26	46		1	
MIN	Primary	22	Initiate's Pickaxe	BSM	50	29		1	
MIN	Secondary	22	Iron Sledgehammer	BSM	29	50		1	
MIN	Primary	25	Iron Dolabra	BSM	54	31		1	
MIN	Secondary	26	Novice's Sledgehammer		32	56	2		
MIN	Primary	29	Steel Pickaxe	BSM	59	34		1	
MIN	Secondary	30	Steel Sledgehammer	BSM	35	60		1	
MIN	Secondary	33	Wrapped Steel Sledgehammer	BSM	37	64		1	
MIN	Primary	34	Steel Dolabra	BSM	66	38		1	
MIN	Primary	38	Plumed Mythril Pickaxe	BSM	71	41		1	
MIN	Secondary	38	Apprentice's Sledgehammer		41	72	3		
MIN	Primary	43	Cobalt Dolabr	BSM	77	44		1	
MIN	Secondary	43	Mythril Sledgehammer	BSM	44	77		1	
MIN	Secondary	47	Cobalt Sledgehammer	BSM	47	83		1	
MIN	Primary	48	Egret Dolabr	BSM	84	48		1	
MIN	Primary	50	Pick Of The Luminary	UNIQUE	112	64			Achievement
MIN	Primary	50	Mammon	UNIQUE	112	64			Lvl 50 Class Quest
MIN	Secondary	50	Militia Sledgehammer	BSM	56	99		1	
DOL	Head	1	Hempen Coif of Gathering	WVR		13		?	
DOL	Head	5	Hempen Bandana	WVR		16		?	8 Control
DOL	Head	10	Straw Hat	WVR		20		?	
DOL	Head	12	Stablemaid's Hat	WVR		21		?	
DOL	Head	13	Stablehand's Hat	WVR		22		?	
DOL	Head	15	Hard Leather Skullcap	LTW		23		?	
DOL	Head	19	Cotton Coif of Gathering	WVR		26		?	
DOL	Head	23	Velveteen Bandana	WVR		29		?	14 Control
DOL	Head	27	Velveteen Wedge Cap of Gathering	WVR		32		?	
DOL	Head	31	Steel Goggles	GSM		35		?	17 Control
DOL	Head	31	Serpent Private's Coif	Unique	3	41		0	* Twin Adder Only, Set Bonus, GC 1280
DOL	Head	35	Angler's Hat	WVR		38		2	
DOL	Head	38	Linen Wedge Cap of Gathering	WVR		41		2	
DOL	Head	40	Woolen Coif of Gathering	WVR		42		2	
DOL	Head	44	Mythril Mesail	ARM		44		2	
DOL	Head	44	Cobalt Preserves	GSM		45		2	22 Control
DOL	Head	44	Serpent Sergeant's Coif	Unique	3	53		0	* Twin Adder Only, Set Bonus, GC 2860
DOL	Head	45	Felt Coif of Gathering	WVR		46		2	
DOL	Head	47	Cobalt Mesail	ARM		47		2	
DOL	Head	46	Vintage Coif	WVR		49		2	
DOL	Head	50	[Class] [Hat]	ARM / LTW / WVR		56		2	27 Control
DOL	Head	50	Explorer's Calot	Unique		59		0	
DOL	Body	1	Hempen Dalmatica of Gathering	WVR	13			0	
DOL	Body	6	Hempen Shepher's Tunic	WVR	17			0	23 Craftsmanship
DOL	Body	9	Amateur's Doublet Vest	WVR	19	9		0	
DOL	Body	12	Hempen Doublet Vest of Gathering	WVR	21	11		0	
DOL	Body	15	Cotton Shepher's Tunic	WVR	23	12		0	33 Craftsmanship, 11 Control
DOL	Body	18	Cotton Dalmatica of Gathering	WVR	26	13		2	
DOL	Body	20	Wood Wailer's Jacket	Unique	28	14	2	0	40 Craftsmanship, 14 Control, 1 CP
DOL	Body	21	Cotton Doublet Vest of Gathering	WVR	28	14		2	
DOL	Body	24	Initiat's Doublet Vest	WVR	30	15		2	
DOL	Body	25	[Grand Company] [Body]	Unique	36	18	3	0	* 1390 GC, GP is set bonus
DOL	Body	27	Velveteen Coatee of Gathering	WVR	32	16		2	
DOL	Body	29	Toadskin Jerkin	LTW	34	17		2	
DOL	Body	32	Velveteen Doublet Vest	WVR	36	18		2	
DOL	Body	35	Aprentice's Doublet	??	39	20	2	0	
DOL	Body	38	Linent Coatee of Gathering	WVR	41	20		2	
DOL	Body	38	Vintage Doublet Vest	WVR	43	21		3	
DOL	Body	41	Linent Doublet	WVR	43	21		2	
DOL	Body	43	Boarskin Jerkin	LTW	44	22		2	
DOL	Body	46	Woolen Doublet	WVR	47	23		2	
DOL	Body	48	Raptorskin Jerkin	LTW	48	24		2	
DOL	Body	50	[Class] [Shirt]	LTW	56	28	3	2	
DOL	Hands	1	Leather Wristguards	LTW	10			0	
DOL	Hands	6	Hempen Work Gloves	WVR	12			0	* Lvl 5 Fisher quest reward too
DOL	Hands	11	Hard Leather Wristguards	LTW	15			0	
DOL	Hands	16	Goatskin Wristguards	LTW	18			2	
DOL	Hands	20	Cotton Work Gloves	WVR	20			2	
DOL	Hands	25	Fingerless Goatskin Gloves	LTW	23			2	
DOL	Hands	30	Velveteen Work Gloves	WVR	26			2	
DOL	Hands	35	Fingerless Boarskin GLoves	LTW	29			2	
DOL	Hands	40	Fingerless Peisteskin Gloves	LTW	32			2	
DOL	Hands	39	Storm Sergeant's Wristguards	Unique	36		4	0	* Malestrom, GC: 1960, GP is Set Bonus
DOL	Hands	43	Woolen Work Gloves	WVR	33			2	
DOL	Hands	45	Fingerless Raptorskin Gloves	LTW	34			2	
DOL	Hands	48	Felt Work Gloves	WVR	36			2	
DOL	Hands	50	[Class] Gloves	LTW / WVR	42		3	2	
DOL	Waist	1	Leather Shepherd's Belt	LTW		3		0	
DOL	Waist	10	Leather Survival Belt	LTW		5		0	
DOL	Waist	17	Hard Leather Shepherd's Belt	LTW		6		1	
DOL	Waist	27	Toadskin Survival Belt	LTW		8		1	
DOL	Waist	37	Boarskin Shepherd's Belt	LTW		10		1	
DOL	Waist	35	Vintage Shepherd's Belt	LTW		10		2	
DOL	Waist	43	Boarskin Survival Belt	LTW		11		1	
DOL	Waist	48	Raptorskin Survival Belt	LTW		12		1	
DOL	Legs	1	Hempen Shepherd's Slops	WVR	6			0	
DOL	Legs	5	Leather Culottes	LTW	8			0	
DOL	Legs	10	Amateur's Slops	WVR	10			0	
DOL	Legs	15	Cotton Shepherd's Slops	WVR	12			2	
DOL	Legs	20	Initiat's Slops	WVR	14			2	
DOL	Legs	25	Velveteen Sarouel of Gathering	WVR	15			2	
DOL	Legs	27	[Grand Company] [Legs]	Unique	19	2		0	* 1080 GP, Perception is set bonus
DOL	Legs	30	Toadskin Culottes	LTW	17			2	
DOL	Legs	35	Linen Sarouel of Gathering	WVR	19			2	
DOL	Legs	40	Woolen Sarouel of Gathering	WVR	21			2	
DOL	Legs	43	Boarskin Culottes	LTW	22			2	
DOL	Legs	48	Raptorskin Culottes	LTW	24			2	
DOL	Legs	50	[Class] [Legs]	WVR / LTW	28	3		2	
DOL	Feet	1	Leather Duckbills of Gathering	LTW		6		0	
DOL	Feet	5	Leather Shoes	LTW		8		0	
DOL	Feet	11	Hard Leather Shoes	LTW		10		0	
DOL	Feet	15	Hard Leather Expadrilles	LTW		12		2	
DOL	Feet	19	Padded Leather Duckbill	LTW		13		2	
DOL	Feet	22	Goatskin Espadrilles	LTW		14		2	
DOL	Feet	25	Goatskin Crakows of Gathering	LTW		15		2	
DOL	Feet	30	Toadskin Workboots	LTW		17		2	
DOL	Feet	35	Boarskin Crakows of Gathering	LTW		19		2	
DOL	Feet	40	Peisteskin Crakows of Gathering	LTW		21		2	
DOL	Feet	43	Boarskin Workboots	LTW		22		2	
DOL	Feet	48	Raptorskin Workboots	LTW		24		2	
DOL	Feet	50	[Class] [Boots]	LTW	3	28		2	
DOL	Neck	5	Leather Choker	LTW			12	0	
DOL	Neck	15	Hard Leather Choker	LTW			18	1	
DOL	Neck	25	Goatskin Choker	LTW			23	1	
DOL	Neck	35	Boarskin Choker	LTW			29	1	
DOL	Neck	45	Raptorskin Choker	LTW			35	1	
DOL	Ear	7	Copper Earings	GSM			13	0	
DOL	Ear	17	Brass Earings	GSM			19	1	
DOL	Ear	27	Silver Earings	GSM			25	1	
DOL	Ear	37	Mythril Earings	GSM			30	1	
DOL	Ear	47	Electrum Earings	GSM			36	1	
DOL	Wrist	17	Hard Leather Wristbands	LTW			19	1	
DOL	Wrist	27	Goatskin Wristbands of Gathering	LTW			25	1	
DOL	Wrist	37	Boarskin Wristbands of Gathering	LTW			30	1	
DOL	Wrist	47	Raptorskin Wristbands of Gathering	LTW			36	1	
DOL	Wrist	50	Militia Bracelets	GSM			38	1	
DOL	Ring	20	Goatskin Ring	LTW			11	1	
DOL	Ring	30	Toadskin Ring	LTW			14	1	
DOL	Ring	40	Boarskin Ring	LTW			17	1	
DOL	Ring	45	[Grand Company] Ring	Unique	3		21	0	* 1900 GC, Gathering is Set Bonus
DOL	Ring	50	Raptorskin Ring	LTW			20	1	
DOL	Ring	50	Blue Rings?	Achievement			22	0	* includes Spiritbond + 1
