Major City	Class	Level	Name	XP	Gil	Type	Location	Area	Quantity	Item	Notes
Limsa Lominsa	Culinarian	20	Brain Food	5259	241	Town			3	Walnut Bread	triple
Limsa Lominsa	Culinarian	20	A Grape Idea	6373	243	Town			1	Grape Juice	
Limsa Lominsa	Culinarian	20	Feast of All Soles	10289	199	Courier	Quarrymill	South Shroud	1	Salmon Meuniere	
Limsa Lominsa	Culinarian	20	Picnic Panic	5259	246	Field	Quarrymill	South Shroud	3	Apple Tart	triple
Limsa Lominsa	Culinarian	20	For Crumbs Sake	6373	238	Field	Quarrymill	South Shroud	1	Honey Muffin	
Limsa Lominsa	Culinarian	25	Fever Pitch	8505	186	Town			3	Chamomile Tea	triple
Limsa Lominsa	Culinarian	25	Convalescence Precedes Essence	9885	225	Town			1	Ginger Cookie	
Limsa Lominsa	Culinarian	25	Cooking With Gas	16550	227	Courier	Quarrymill	South Shroud	9	Chicken Stock	
Limsa Lominsa	Culinarian	25	I love Lamprey	11115	253	Field	Quarrymill	South Shroud	3	Eel Pie	triple
Limsa Lominsa	Culinarian	25	Whirled Peas	9885	233	Field	Quarrymill	South Shroud	1	Pea Soup	
Limsa Lominsa	Culinarian	30	True Grits	13887	144	Town			6	Cornmeal	triple
Limsa Lominsa	Culinarian	30	Bloody Good Tart, This	15941	243	Town			1	Blood Currant Tart	
Limsa Lominsa	Culinarian	30	Pretty as a Picture	22712	287	Courier	Costa del Sol		5	Dark Vinegar	
Limsa Lominsa	Culinarian	30	Sole Survivor	17670	243	Field	Costa del Sol	Eastern La Noscea	3	Baked Sole	triple
Limsa Lominsa	Culinarian	30	Point Them with the Sticky End	15941	405	Field	Costa del Sol	Eastern La Noscea	1	Tuna Miq'abob	
Limsa Lominsa	Culinarian	35	Feeding Frenzy	19600	194	Town			3	Acorn Cookie	triple
Limsa Lominsa	Culinarian	35	Don't Turn Up Your Nose	20517	404	Town			1	Sauerkraut 	
Limsa Lominsa	Culinarian	35	No More Dumpster Diving	32396	299	Courier	Observatorium	Coerthas	1	Knight's Bread	
Limsa Lominsa	Culinarian	40	Made by Apple in Coerthas	32049	590	Town			3	Apple Juice	triple
Limsa Lominsa	Culinarian	40	The Perks of Life at Sea	27107	364	Town			1	Jerked Beef 	
Limsa Lominsa	Culinarian	40	Moving up the World	41831	401	Courier	Whitebrim	Coerthas	5	Rolanberry Cheese	
Limsa Lominsa	Culinarian	45	Bread in the Clouds	39087	311	Town			3	La Noscean Toast	triple
Limsa Lominsa	Culinarian	45	The Egg Files	33573	485	Town			1	Deviled Eggs 	
Limsa Lominsa	Culinarian	45	Culture Club	53280	460	Courier	Saint Coinach's Find	Mor Dhona	1	Crowned Pie	
Gridania	Carpenter	1	In with the New	364	100	Town			1	Bone Harpoon	
Gridania	Carpenter	1	Touch and Heal	430	99	Town			1	Maple Pattens	
Gridania	Carpenter	1	Bowing Out	292	102	Field	The Bannock	Central Shroud	1	Maple Shortbow	
Gridania	Carpenter	1	Got Your Back	885	103	Field	The Bannock	Central Shroud	1	Square Maple Shield	
Gridania	Carpenter	5	Bows for the Boys	1137	120	Town			1	Maple Longbow	
Gridania	Carpenter	5	Shields for the Serpents	1257	143	Town			1	Round Shield	
Gridania	Carpenter	5	Spears and Sorcery	1715	118	Courier	The Bannock	Central Shroud	1	Maple Crook	
Gridania	Carpenter	5	Leaving without Leave	1053	117	Field	The Bannock	Central Shroud	1	Bronze Spear	
Gridania	Carpenter	5	A Sword in Hand	2022	150	Field	The Bannock	Central Shroud	1	Ash Macuahuitl	
Gridania	Carpenter	10	Citizens' Canes	2566	147	Town			1	Ash Radical	
Gridania	Carpenter	10	On the Move	2330	147	Town			1	Ragstone Grinding Wheel	
Gridania	Carpenter	10	Raise the Roof	3033	232	Courier	Bentbranch	Central Shroud	3	Ash Lumber	
Gridania	Carpenter	10	Say It with Spears	2566	140	Field	Bentbranch	Central Shroud	1	Feathered Harpoon	
Gridania	Carpenter	10	Life's a Stitch	2410	185	Field	Bentbranch	Central Shroud	1	Ash Spinning Wheel	
Gridania	Carpenter	15	Re-crating the Scene	4227	197	Town			1	Iron Spear	
Gridania	Carpenter	15	Nightmare on My Street	4382	195	Town			1	Elm Cane	
Gridania	Carpenter	15	Driving up the Wall	6086	287	Courier	Hawthorne Hut	North Shroud	3	Elm Lumber	
Gridania	Carpenter	15	Nothing to Hide	6109	196	Field	Hawthorne Hut	North Shroud	1	2703	Lapis Lazuli
Gridania	Carpenter	15	What You Need	3872	131	Field	Hawthorne Hut	North Shroud	1	Square Ash Shield	
Gridania	Carpenter	20	Behind the Mask	7331	400	Town			3	2703	Lapis Lazuli
Gridania	Carpenter	20	As the Worm Turns	6373	216	Town			1	Yew Radical	
Gridania	Carpenter	20	Militia on My Mind	9164	192	Courier	Quarrymill	South Shroud	1	Iron Lance	
Gridania	Carpenter	20	Polearms Aplenty	5073	195	Field	Quarrymill	South Shroud	3	Iron Spear	triple
Gridania	Carpenter	20	Grinding It Out	6625	230	Field	Quarrymill	South Shroud	1	Mudstone Grinding Wheel	
Gridania	Carpenter	25	Armoires of the Rich and Famous	11115	493	Town			5	Walnut Lumber	triple
Gridania	Carpenter	25	Daddy's Little Girl	9885	285	Town			1	Viper-crested Round Shield	
Gridania	Carpenter	25	Tools for the Tools	15710	339	Courier	Quarrymill	South Shroud	1	Silver Battle Fork	
Gridania	Carpenter	25	Heal Away	8505	273	Field	Quarrymill	South Shroud	3	Yew Crook	triple
Gridania	Carpenter	25	Storm of Swords	11033	260	Field	Quarrymill	South Shroud	1	Elm Macuahuitl	
Gridania	Carpenter	30	Ceremonial Spears	17670	377	Town			3	Steel Spear	triple
Gridania	Carpenter	30	An Expected Tourney	15141	353	Town			1	Ash Cavalry Bow	
Gridania	Carpenter	30	Knock on Wood	24500	343	Courier	Costa del Sol	Eastern La Noscea	1	Walnut Macuahuitl	
Gridania	Carpenter	30	The Long Lance of the Law	13887	424	Field	Costa del Sol	Eastern La Noscea	3	Steel Halberd	triple
Gridania	Carpenter	30	Live Freelance or Die	19950	499	Field	Costa del Sol	Eastern La Noscea	1	Heavy Steel Lance	
Gridania	Carpenter	35	Flintstone Flight	19600	508	Town			3	Walnut Macuahuitl	triple
Gridania	Carpenter	35	A Tree Grew in Gridania	21057	514	Town			1	Pastoral Oak Cane	
Gridania	Carpenter	35	Stay on Target	30776	387	Courier	Observatorium	Coerthas	1	Yarzonshell Harpoon	
Gridania	Carpenter	35	Bend It Like Durendaire	18170	403	Field	Observatorium	Coerthas	3	Ash Cavalry Bow	triple
Gridania	Carpenter	35	The Cold, Cold Ground	22119	386	Field	Observatorium	Coerthas	1	Oak Pattens	
Gridania	Carpenter	40	Spin It Like You Mean It	32049	678	Town			3	Mahogany Spinning Wheel	triple
Gridania	Carpenter	40	Greenstones for Greenhorns	28267	583	Town			1	Jade Crook	
Gridania	Carpenter	40	The Arsenal of Theocracy	42401	501	Courier	Whitebrim	Coerthas	1	Cobalt Halberd	
Gridania	Carpenter	40	Ready for a Rematch	25917	714	Field	Whitebrim	Coerthas	3	Mythril Lance	triple
Gridania	Carpenter	40	The Turning Point	27887	538	Field	Whitebrim	Coerthas	1	Garnet Grinding Wheel	
Gridania	Carpenter	45	You Do the Heavy Lifting	26543	426	Town			5	Mahogany Lumber	triple
Gridania	Carpenter	45	Clogs of War	35520	425	Town			1	Mahogany Pattens	
Gridania	Carpenter	45	Trident and Error	51828	648	Courier	Saint Coinach's Find	Mor Dhona	1	Cobalt Trident	
Gridania	Carpenter	45	Incant Now, Think Later	33921	754	Field	Saint Coinach's Find	Mor Dhona	3	Jade Crook	triple
Gridania	Carpenter	45	Bowing to Greater Power	33573	405	Field	Saint Coinach's Find	Mor Dhona	1	Yew Longbow	
Gridania	Leatherworker	1	Red in the Head	240	87	Town			1	Leather Calot	
Gridania	Leatherworker	1	Underneath It All	292	87	Town			1	Leather Wristguards	
Gridania	Leatherworker	1	Packmen	364	101	Field	The Bannock	Central Shroud	1	Merchant's Purse	
Gridania	Leatherworker	1	Sticking Their Necks Out	885	99	Field	The Bannock	Central Shroud	1	Leather Choker	
Gridania	Leatherworker	5	Mind over Muzzle	1137	129	Town			1	Leather Wristbands	
Gridania	Leatherworker	5	From the Sands to the Stage	1137	206	Town			1	Leather Himantes	
Gridania	Leatherworker	5	In Their Shoes	1715	128	Courier	The Bannock	Central Shroud	1	Leather Leggings	
Gridania	Leatherworker	5	A Thorn in One's Hide	1053	127	Field	The Bannock	Central Shroud	1	Leather Mitts	
Gridania	Leatherworker	5	A Place to Call Helm	1143	145	Field	The Bannock	Central Shroud	1	Hard Leather Pot Helm	
Gridania	Leatherworker	10	Quelling Bloody Rumors	2230	145	Town			1	Hard Leather Shoes	
Gridania	Leatherworker	10	The Bards' Guards	2022	142	Town			1	Hard Leather Wristguards	
Gridania	Leatherworker	10	Saddle Sore	1715	150	Courier	Bentbranch	Central Shroud	3	Hard Leather	
Gridania	Leatherworker	10	Only the Best	2410	148	Field	Bentbranch	Central Shroud	1	Hard Leather Harness	
Gridania	Leatherworker	10	Simply the Best	2598	149	Field	Bentbranch	Central Shroud	1	Hard Leather Caligae	
Gridania	Leatherworker	15	Choke Hold	3872	183	Town			1	Hard Leather Choker	
Gridania	Leatherworker	15	Heads Up	4227	140	Town			1	Hard Leather Skullcap	
Gridania	Leatherworker	15	Skin off Their Backs	6341	237	Courier	Hawthorne Hut	North Shroud	3	Aldgoat Leather	
Gridania	Leatherworker	15	Back in the Band	4227	183	Field	Hawthorne Hut	North Shroud	1	Hard Leather Wristbands	
Gridania	Leatherworker	15	On Their Feet Again	4227	286	Field	Hawthorne Hut	North Shroud	1	Hard Leather Espadrilles	
Gridania	Leatherworker	20	Fire and Hide	5073	244	Town			5	Aldgoat Leather	triple
Gridania	Leatherworker	20	Playing the Part	6625	242	Town			1	Goatskin Armguards	
Gridania	Leatherworker	20	My Sole to Take	9650	178	Courier	Quarrymill	South Shroud	1	Padded Leather Duckbills	
Gridania	Leatherworker	20	Packing a Punch	5259	227	Field	Quarrymill	South Shroud	3	Hard Leather Cesti	triple
Gridania	Leatherworker	20	Hands On	9262	224	Field	Quarrymill	South Shroud	1	Fingerless Goatskin Gloves	
Gridania	Leatherworker	25	Belts Served Cold	8231	369	Town			3	Voyager's Belt	triple
Gridania	Leatherworker	25	Men Who Scare Up Goats	11572	249	Town			1	Goatskin Targe	
Gridania	Leatherworker	25	Just Rewards	17358	228	Courier	Quarrymill	South Shroud	1	Goatskin Wristbands	
Gridania	Leatherworker	25	Quicker than Sand	7648	265	Field	Quarrymill	South Shroud	3	Padded Leather Duckbills	triple
Gridania	Leatherworker	25	No Risk, No Reward	11033	258	Field	Quarrymill	South Shroud	1	Toadskin Cesti	
Gridania	Leatherworker	30	Best Served Toad	11862	346	Town			5	Toad Leather	triple
Gridania	Leatherworker	30	Quality over Quantity	15941	406	Town			1	Boarskin Himantes	
Gridania	Leatherworker	30	Just Cinch It	23912	366	Courier	Costa del Sol	Eastern La Noscea	1	Boarskin Satchel Belt	
Gridania	Leatherworker	30	Subordinate Clause	11862	486	Field	Costa del Sol	Eastern La Noscea	3	Goatskin Choker	triple
Gridania	Leatherworker	30	Slave to Fashion	16333	512	Field	Costa del Sol	Eastern La Noscea	1	Boarskin Choker	
Gridania	Leatherworker	35	Supply Side Logic	19130	438	Town			5	Boar Leather	triple
Gridania	Leatherworker	35	Soft Shoe Shuffle	21597	346	Town			1	Peisteskin Crakows	
Gridania	Leatherworker	35	The Righteous Tools for the Job	30776	392	Courier	Observatorium	Coerthas	1	Boarskin Ringbands	
Gridania	Leatherworker	35	First They Came for the Heretics	19600	356	Field	Observatorium	Coerthas	3	Boarskin Choker	triple
Gridania	Leatherworker	35	Through a Glass Brightly	21597	579	Field	Observatorium	Coerthas	1	Fingerless Peisteskin Gloves	
Gridania	Leatherworker	40	The Tao of Rabbits	25260	521	Town			3	Boarskin Harness	triple
Gridania	Leatherworker	40	Skirt Chaser	27497	410	Town			1	Boarskin Skirt	
Gridania	Leatherworker	40	The Birdmen of Ishgard	40661	553	Courier	Whitebrim	Coerthas	1	Boarskin Culottes	
Gridania	Leatherworker	40	It's Not a Job, It's a Calling	25917	380	Field	Whitebrim	Coerthas	5	Peiste Leather	triple
Gridania	Leatherworker	40	Not So Alike in Dignity	27887	516	Field	Whitebrim	Coerthas	1	Boarskin Jerkin	
Gridania	Leatherworker	45	Handle with Care	39087	594	Town			3	Peisteskin Cesti	triple
Gridania	Leatherworker	45	Too Hot to Handle	33573	468	Town			1	Raptorskin Wristbands	
Gridania	Leatherworker	45	Hang in There	48858	576	Courier	Saint Coinach's Find	Mor Dhona	1	Raptorskin Artisan's Belt	
Gridania	Leatherworker	45	Spelling Me Softly	33921	425	Field	Saint Coinach's Find	Mor Dhona	5	Raptor Leather	triple
Gridania	Leatherworker	45	Tenderfoot Moments	34552	391	Field	Saint Coinach's Find	Mor Dhona	1	Hunting Moccasins	
Ul'dah	Goldsmith	1	Copper and Robbers	240	104	Town			1	Copper Ingot	
Ul'dah	Goldsmith	1	Needful Rings	885	106	Town			1	Copper Wristlets	
Ul'dah	Goldsmith	1	Hora at Me	292	93	Field	Scorpion Crossing	Western Thanalan	1	Bone Hora	
Ul'dah	Goldsmith	1	Bad Bromance	885	96	Field	Scorpion Crossing	Western Thanalan	1	Bone Staff	
Ul'dah	Goldsmith	5	Gods of Small Things	1053	121	Town			1	Copper Earrings	
Ul'dah	Goldsmith	5	I Ram What I Ram	2022	147	Town			1	Ramhorn Claws	
Ul'dah	Goldsmith	5	Let's Talk about Hex	1715	149	Courier	Scorpion Crossing	Western Thanalan	1	Bone Necklace	
Ul'dah	Goldsmith	5	A Ringing Success	1137	121	Field	Scorpion Crossing	Western Thanalan	1	Copper Ring	
Ul'dah	Goldsmith	5	Horn of Plenty	2022	113	Field	Scorpion Crossing	Western Thanalan	1	Bone Armillae	
Ul'dah	Goldsmith	10	All That Glitters	2230	136	Town			1	Copper Ear Cuffs	
Ul'dah	Goldsmith	10	The Tusk at Hand	3872	231	Town			1	Fang Earrings	
Ul'dah	Goldsmith	10	An Offer We Can't Refuse	3849	204	Courier	Horizon	Western Thanalan	1	Decorated Bone Staff	
